r1,E1,r2,E2
1.5336,-787.536222989,1.5531,-787.528419618
1.6336,-787.532324651,1.6531,-787.52490501
1.7336,-787.522980075,1.7531,-787.51648062
1.8336,-787.507031162,1.8531,-787.505409542
1.9336,-787.497746701,1.9531,-787.493096714
2.0336,-787.484158009,2.0531,-787.480401386
2.1336,-787.470928608,2.1531,-787.467835902
2.2336,-787.45823432,2.2531,-787.455697332
2.3336,-787.44627543,2.3531,-787.444152629
2.4336,-787.4351381,2.4531,-787.433290561
2.5336,-787.424853119,2.5531,-787.423156353
2.6336,-787.415410469,2.6531,-787.413764107
2.7336,-787.406775357,2.7531,-787.405281385
2.8336,-787.398898026,2.8531,-787.396478467
2.9336,-787.391720897,2.9531,-787.390536224
3.0336,-787.385179686,3.0531,-787.384100071
3.1336,-787.37920424,3.1531,-787.378194144
3.2336,-787.373732154,3.2531,-787.372790363
3.3336,-787.368711768,3.3531,-787.367855609
3.4336,-787.36409516,3.4531,-787.363317124
3.5336,-787.359825083,3.5531,-787.359143316
3.6336,-787.355944062,3.6531,-787.355311455
3.7336,-787.352359734,3.7531,-787.351793695
3.8336,-787.349192008,3.8531,-787.348564068
3.9336,-787.346187309,3.9531,-787.345613124
4.0336,-787.343455886,4.0531,-787.342937232
4.1336,-787.340987597,4.1531,-787.34052235
4.2336,-787.338762367,4.2531,-787.338347615
4.3336,-787.336762169,4.3531,-787.336397684
4.4336,-787.334976393,4.4531,-787.334659696
4.5336,-787.333395484,4.5531,-787.333120972
4.6336,-787.331998434,4.6531,-787.331764951
4.7336,-787.330783498,4.7531,-787.330567595
4.8336,-787.329710903,4.8531,-787.329532397
4.9336,-787.328785676,4.9531,-787.328618455
5.0336,-787.327973213,5.0531,-787.327835053
5.1336,-787.327277263,5.1531,-787.327150306
5.2336,-787.326666704,5.2531,-787.326556991
5.3336,-787.326145711,5.3531,-787.326038955
5.4336,-787.325691893,5.4531,-787.325599464
5.5336,-787.325298826,5.5531,-787.325210785
5.6336,-787.324957174,5.6531,-787.324878655
5.7336,-787.324658881,5.7531,-787.324585146
5.8336,-787.324396762,5.8531,-787.32432719
5.9336,-787.324164679,5.9531,-787.324096552
6.0336,-787.323953759,6.0531,-787.323851712
6.1336,-787.323770682,6.1531,-787.323686494
6.2336,-787.323600419,6.2531,-787.323569631
6.3336,-787.323439873,6.3531,-787.323423404
6.4336,-787.323283408,6.4531,-787.323198254
6.5336,-787.323158085,6.5531,-787.323161157
6.6336,-787.323026171,6.6531,-787.323041234
6.7336,-787.322899463,6.7531,-787.322926803
6.8336,-787.322777042,6.8531,-787.322815418
6.9336,-787.322665835,6.9531,-787.322708029
7.0336,-787.32256479,7.0531,-787.322614191
7.1336,-787.322477071,7.1531,-787.322651473
7.2336,-787.32238437,7.2531,-787.322534152
7.3336,-787.322301136,7.3531,-787.322418337
7.4336,-787.322220221,,
7.5336,-787.322140708,,
